chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr1	192537185	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	RGS1	FALSE	+	FALSE	-38540	RGS1	-38540
chr1	66301269	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	PDE4B	TRUE	+	FALSE	-0	MIER1	-623624
chr12	92187324	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	LOC101928617	FALSE	+	FALSE	1539	BTG1	-41426
chr17	38880906	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	LASP1	TRUE	+	FALSE	0	LASP1	0
chr17	74739260	+	hg38	2	pin21	xxx	GTSP3896	PBMC	D0	2	10.526315789473683	RAB37	TRUE	+	FALSE	-0	SLC9A3R1	-9350
chr19	15483461	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	PGLYRP2	FALSE	-	FALSE	-3956	BRD4	-150917
chr19	17749842	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	FCHO1	TRUE	+	FALSE	0	JAK3	74938
chr19	41554270	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	CEACAM21	TRUE	+	FALSE	0	CEACAM7	119035
chr22	19892234	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	TXNRD2	TRUE	-	FALSE	-0	SEPT5	168911
chr4	165206689	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	KLHL2	FALSE	+	FALSE	-927	NPY1R	-1873893
chr4	36209421	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	ARAP2	TRUE	-	FALSE	0	ARAP2	0
chr4	40703520	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	NSUN7	FALSE	+	FALSE	-46375	RHOH	458755
chr5	119238382	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	DMXL1	TRUE	+	FALSE	-0	LOX	2824811
chr5	394671	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	AHRR	TRUE	+	FALSE	-0	PDCD6	79696
chr7	74095240	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	LIMK1	TRUE	+	FALSE	0	LIMK1	0
chr8	143978467	-	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	PARP10	TRUE	-	FALSE	-0	BOP1	283577
chr8	129887315	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	FAM49B	TRUE	-	FALSE	-0	PVT1	1786061
chr9	116687664	+	hg38	1	pin21	xxx	GTSP3896	PBMC	D0	1	5.263157894736842	ASTN2,TRIM32	TRUE	-,+	FALSE	-0	ASTN2	-0
chr1	9718289	-	hg38	69375	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	PIK3CD	TRUE	+	FALSE	-0	PIK3CD	-0
chr1	19487260	+	hg38	1	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	CAPZB	FALSE	-	FALSE	-1618	NBL1	-155967
chr1	25001102	+	hg38	16531	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	MIR4425	FALSE	+	FALSE	-22399	RUNX3	-36091
chr10	30699581	-	hg38	44204	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	SVILP1	TRUE	+	FALSE	0	MAP3K8	237747
chr10	3761428	-	hg38	20726	pin25	xxx	GTSP4694	PBMC	D1	4	11.76470588235294	LOC105376360	FALSE	+	FALSE	10663	KLF6	14566
chr11	1727053	-	hg38	13941	pin25	xxx	GTSP4694	PBMC	D1	2	5.88235294117647	IFITM10	FALSE	-	FALSE	5355	IGF2	402057
chr12	108628418	-	hg38	3889	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	SELPLG	TRUE	-	FALSE	0	CORO1C	16689
chr13	79451890	+	hg38	20	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	NDFIP2-AS1	FALSE	-	FALSE	25472	POU4F1	-848329
chr14	101820833	-	hg38	32	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	PPP2R5C	TRUE	+	FALSE	0	HSP90AA1	259903
chr14	21998980	-	hg38	1977	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	OR4E1	FALSE	-	FALSE	-327962	MMP14	-837551
chr14	24632929	+	hg38	1	pin25	xxx	GTSP4694	PBMC	D1	1	2.941176470588235	GZMB	TRUE	-	TRUE	0	BCL2L2	1321169
