posid,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/Y8,patient
chr1-100444631,0,0,0,0,0,0,1,0,pin25
chr1-101127822,0,0,0,0,0,0,1,0,pin25
chr1-101176523,0,0,0,0,0,0,1,0,pin25
chr1-101889606,0,0,0,0,0,1,0,0,pin25
chr1-109791681,0,0,0,0,0,0,1,0,pin25
chr1-109887966,0,0,0,1,0,0,0,0,pin25
chr1-109892335,0,1,0,0,0,0,0,0,pin25
chr1-112619328,0,0,0,0,0,0,1,0,pin25
chr1-113803397,0,1,0,0,0,0,0,0,pin25
chr1-114482048,0,0,0,3,0,0,0,0,pin25
chr1-116257351,0,0,0,0,0,0,1,0,pin25
chr1-116724298,0,0,0,0,0,0,1,0,pin25
chr1-116739103,0,0,0,0,0,0,1,0,pin25
chr1-116753223,0,1,0,0,0,0,0,0,pin25
chr1-116824908,0,0,0,0,0,0,1,0,pin25
chr1-13748683,0,0,0,0,0,0,1,0,pin25
chr1-143798808,0,0,0,0,0,0,1,0,pin25
chr1-145980955,0,0,1,0,0,0,0,0,pin25
chr1-145984341,0,1,0,0,0,0,0,0,pin25
chr1-145996487,0,0,0,0,0,0,1,0,pin25
chr1-145996814,0,0,0,0,0,0,1,0,pin25
chr1-146935855,0,0,1,0,0,0,0,0,pin25
chr1-1470918,0,0,0,0,0,0,1,0,pin25
chr1-147542418,0,0,0,0,0,0,1,0,pin25
chr1-150365072,0,0,0,0,0,0,1,0,pin25
chr1-151347913,0,1,0,0,0,0,0,0,pin25
chr1-154157353,0,0,0,0,0,0,1,0,pin25
chr1-154975388,0,0,0,1,0,0,0,0,pin25
chr1-155467167,0,0,0,0,0,0,0,2,pin25
chr1-155637448,0,1,0,0,0,0,0,0,pin25
chr1-156219908,0,0,0,0,0,0,1,0,pin25
chr1-156816255,0,0,0,0,0,0,1,0,pin25
chr1-159923164,0,0,0,0,0,0,1,0,pin25
chr1-160569299,0,0,1,0,0,0,0,0,pin25
chr1-161033810,0,0,1,0,0,0,0,0,pin25
chr1-161186832,0,0,0,0,0,0,1,0,pin25
chr1-161410827,0,1,0,0,0,0,0,0,pin25
chr1-1616651,0,0,0,0,0,0,1,0,pin25
chr1-168509063,0,0,0,0,0,0,1,0,pin25
chr1-170533310,0,0,0,0,0,0,1,0,pin25
chr1-171741743,0,1,0,0,0,0,0,0,pin25
chr1-172345260,0,1,0,0,0,0,0,0,pin25
chr1-172703239,0,1,0,0,0,0,0,0,pin25
chr1-173871789,0,0,0,0,0,0,1,0,pin25
chr1-180499471,0,0,0,0,0,0,1,0,pin25
chr1-182679046,0,1,0,0,0,0,0,0,pin25
chr1-182715860,0,0,0,0,0,0,1,0,pin25
chr1-185438802,0,0,0,0,0,0,1,0,pin25
chr1-198172809,0,1,0,0,0,0,0,0,pin25
chr1-198642102,0,1,0,0,0,0,0,0,pin25
chr1-20188193,0,0,1,0,0,0,0,0,pin25
chr1-203291260,0,0,0,0,0,0,1,0,pin25
chr1-203621469,0,0,1,0,0,0,0,0,pin25
chr1-204318979,0,0,0,0,0,0,1,0,pin25
chr1-206556516,0,0,0,0,0,0,1,0,pin25
chr1-212681091,0,0,1,0,0,0,0,0,pin25
chr1-213120733,0,0,0,0,0,0,1,0,pin25
chr1-21912118,0,0,0,0,0,0,1,0,pin25
chr1-221729105,0,0,0,0,0,0,1,0,pin25
chr1-221775244,0,0,1,0,0,0,0,0,pin25
chr1-221776324,0,0,0,0,0,1,0,0,pin25
chr1-221828294,0,1,0,0,0,0,0,0,pin25
chr1-225453066,0,0,0,0,0,0,1,0,pin25
chr1-230157065,0,1,0,0,0,0,0,0,pin25
chr1-230241486,0,0,0,0,0,0,1,0,pin25
chr1-234728478,0,0,0,0,0,0,1,0,pin25
chr1-23997944,0,0,0,0,0,0,1,0,pin25
chr1-24191172,0,0,0,0,0,0,1,0,pin25
chr1-24539039,0,0,0,0,0,0,1,0,pin25
chr1-248479757,0,0,0,0,0,0,1,0,pin25
chr1-24970386,0,0,0,0,0,0,1,0,pin25
chr1-25007828,0,0,0,1,0,0,0,0,pin25
chr1-25021572,0,0,0,1,0,0,0,0,pin25
chr1-25027590,0,0,0,1,0,0,0,0,pin25
chr1-25028332,0,0,0,1,0,0,0,0,pin25
chr1-25029963,0,0,0,0,0,1,0,0,pin25
chr1-25032296,0,0,0,1,0,0,0,0,pin25
chr1-25033576,0,0,0,0,0,0,1,0,pin25
chr1-25034693,0,0,0,1,0,0,0,0,pin25
chr1-2579704,0,0,3,0,0,0,0,0,pin25
chr1-26544569,0,0,0,0,0,0,1,0,pin25
chr1-26830442,0,0,0,0,0,0,1,0,pin25
chr1-27366451,0,1,0,0,0,0,0,0,pin25
chr1-29060738,0,0,0,0,0,0,1,0,pin25
chr1-32821432,0,1,0,0,0,0,0,0,pin25
chr1-32966923,0,0,0,0,0,0,1,0,pin25
chr1-37946775,0,0,1,0,0,0,0,0,pin25
chr1-59390767,0,1,0,0,0,0,0,0,pin25
chr1-59479815,0,0,0,1,0,0,0,0,pin25
chr1-6038596,0,0,1,0,0,0,0,0,pin25
chr1-6465865,0,0,1,0,0,0,0,0,pin25
chr1-65397607,0,0,0,1,0,0,0,0,pin25
chr1-65421499,0,0,0,0,0,0,1,0,pin25
chr1-6603915,0,0,0,0,0,0,1,0,pin25
