posid,PBMC/D0,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/M2,patient
chr1-101283707,0,0,0,1,0,0,0,0,0,pin26
chr1-107993700,0,0,0,0,2,0,0,0,0,pin26
chr1-10905822,1,0,0,0,0,0,0,0,0,pin26
chr1-109371163,0,0,1,0,0,0,0,0,0,pin26
chr1-11063571,1,0,0,0,0,0,0,0,0,pin26
chr1-110874897,0,0,0,0,0,0,0,2,0,pin26
chr1-111201159,1,0,0,0,0,0,0,0,0,pin26
chr1-1143155,0,0,0,0,1,0,0,0,0,pin26
chr1-115648444,0,0,1,0,0,0,0,0,0,pin26
chr1-115898832,0,0,1,0,0,0,0,0,0,pin26
chr1-116753906,0,0,0,0,0,0,0,0,1,pin26
chr1-116768012,1,0,0,0,0,0,0,0,0,pin26
chr1-116828342,0,0,0,1,0,0,0,0,0,pin26
chr1-119799342,0,0,1,0,0,0,0,0,0,pin26
chr1-1214536,0,1,0,0,0,0,0,0,0,pin26
chr1-1215755,1,0,0,0,0,0,0,0,0,pin26
chr1-12158568,0,0,1,0,0,0,0,0,0,pin26
chr1-12447106,0,0,0,1,0,0,0,0,0,pin26
chr1-12469480,0,0,0,1,0,0,0,0,0,pin26
chr1-12469981,0,0,1,0,0,0,0,0,0,pin26
chr1-12472718,1,0,0,0,0,0,0,0,0,pin26
chr1-125180813,0,0,0,1,0,0,0,0,0,pin26
chr1-12528803,0,0,0,0,0,0,0,1,0,pin26
chr1-149850490,0,0,0,2,0,0,0,0,0,pin26
chr1-149864348,1,0,0,0,0,0,0,0,0,pin26
chr1-150889889,0,0,0,0,0,0,0,1,0,pin26
chr1-153541900,1,0,0,0,0,0,0,0,0,pin26
chr1-154786094,0,0,0,0,0,0,0,2,0,pin26
chr1-155933318,0,0,1,0,0,0,0,0,0,pin26
chr1-156153011,1,0,0,0,0,0,0,0,0,pin26
chr1-156153023,1,0,0,0,0,0,0,0,0,pin26
chr1-156220871,1,0,0,0,0,0,0,0,0,pin26
chr1-156222445,0,0,1,0,0,0,0,0,0,pin26
chr1-156750766,0,0,1,0,0,0,0,0,0,pin26
chr1-156866595,1,0,0,0,0,0,0,0,0,pin26
chr1-159009185,1,0,0,0,0,0,0,0,0,pin26
chr1-15956744,1,0,0,0,0,0,0,0,0,pin26
chr1-15962990,0,0,0,0,0,0,0,1,0,pin26
chr1-160453775,0,0,0,0,0,0,0,1,0,pin26
chr1-160521397,0,0,1,0,0,0,0,0,0,pin26
chr1-160522919,1,0,0,0,0,0,0,0,0,pin26
chr1-160529539,0,0,1,0,0,0,0,0,0,pin26
chr1-160641021,0,0,1,0,0,0,0,0,0,pin26
chr1-160856452,0,0,0,0,0,0,0,1,0,pin26
chr1-167601160,1,0,0,0,0,0,0,0,0,pin26
chr1-167617100,1,0,0,0,0,0,0,0,0,pin26
chr1-168575264,0,0,0,0,0,0,0,1,0,pin26
chr1-169594034,0,0,0,0,0,0,0,0,1,pin26
chr1-169697143,1,0,0,0,0,0,0,0,0,pin26
chr1-171780666,0,0,0,0,0,0,0,1,0,pin26
chr1-172700134,0,0,0,0,0,0,0,1,0,pin26
chr1-173476187,0,0,1,0,0,0,0,0,0,pin26
chr1-174968105,1,0,0,0,0,0,0,0,0,pin26
chr1-182630464,1,0,0,0,0,0,0,0,0,pin26
chr1-182715081,1,0,0,0,0,0,0,0,0,pin26
chr1-1842087,1,0,0,0,0,0,0,0,0,pin26
chr1-185440253,0,0,0,0,0,0,0,1,0,pin26
chr1-186375207,0,0,1,0,0,0,0,0,0,pin26
chr1-186573006,0,0,0,0,0,0,0,1,0,pin26
chr1-193438870,0,0,0,1,0,0,0,0,0,pin26
chr1-193459710,1,0,0,0,0,0,0,0,0,pin26
chr1-193569528,0,0,0,0,1,0,0,0,0,pin26
chr1-197948340,0,0,0,0,0,0,0,1,0,pin26
chr1-198159580,1,0,0,0,0,0,0,0,0,pin26
chr1-198536635,1,0,0,0,0,0,0,0,0,pin26
chr1-198614103,1,0,0,0,0,0,0,0,0,pin26
chr1-198634591,0,0,1,0,0,0,0,0,0,pin26
chr1-203294909,0,0,1,0,0,0,0,0,0,pin26
chr1-203624168,0,0,0,1,0,0,0,0,0,pin26
chr1-203626264,0,0,0,1,0,0,0,0,0,pin26
chr1-204318765,0,0,1,0,0,0,0,0,0,pin26
chr1-204321096,0,0,0,0,0,1,0,0,0,pin26
chr1-205773787,0,0,0,0,0,2,0,0,0,pin26
chr1-206384782,0,1,0,0,0,0,0,0,0,pin26
chr1-206553030,0,0,0,0,0,0,0,0,1,pin26
chr1-206555106,0,0,0,0,1,0,0,0,0,pin26
chr1-206578947,1,0,0,0,0,0,0,0,0,pin26
chr1-209753631,0,0,1,0,0,0,0,0,0,pin26
chr1-209757188,0,0,1,0,0,0,0,0,0,pin26
chr1-209768200,0,0,0,0,0,0,0,1,0,pin26
chr1-212596929,1,0,0,0,0,0,0,0,0,pin26
chr1-214396949,1,0,0,0,0,0,0,0,0,pin26
chr1-214442159,0,0,0,0,1,0,0,0,0,pin26
chr1-21766454,0,0,0,0,0,0,0,1,0,pin26
chr1-219468034,0,0,0,1,0,0,0,0,0,pin26
chr1-2199509,0,0,1,0,0,0,0,0,0,pin26
chr1-22038936,1,0,0,0,0,0,0,0,0,pin26
chr1-224169799,1,0,0,0,0,0,0,0,0,pin26
chr1-224732669,0,0,1,0,0,0,0,0,0,pin26
chr1-226680391,0,0,1,0,0,0,0,0,0,pin26
chr1-227327681,1,0,0,0,0,0,0,0,0,pin26
chr1-230212911,0,0,0,1,0,0,0,0,0,pin26
chr1-231241124,1,0,0,0,0,0,0,0,0,pin26
chr1-232938077,0,0,1,0,0,0,0,0,0,pin26
chr1-233695174,0,0,1,0,0,0,0,0,0,pin26
chr1-234488031,1,0,0,0,0,0,0,0,0,pin26
chr1-234611765,1,0,0,0,0,0,0,0,0,pin26
chr1-234727529,0,0,0,0,0,0,0,1,0,pin26
chr1-234730689,0,0,0,0,0,0,0,1,0,pin26
chr1-234982376,1,0,0,0,0,0,0,0,0,pin26
chr1-235013735,2,0,0,0,0,0,0,0,0,pin26
chr1-235047053,0,0,1,0,0,0,0,0,0,pin26
chr1-235849021,0,0,1,0,0,0,0,0,0,pin26
chr1-235861319,0,0,1,0,0,0,0,0,0,pin26
chr1-235867808,0,0,1,0,0,0,0,0,0,pin26
chr1-239408907,0,0,0,0,0,0,0,1,0,pin26
chr1-23956722,1,0,0,0,0,0,0,0,0,pin26
chr1-239720204,0,0,0,1,0,0,0,0,0,pin26
chr1-248565384,0,0,0,0,0,0,0,0,1,pin26
chr1-24992632,0,0,0,0,0,0,0,1,0,pin26
chr1-26278324,1,0,0,0,0,0,0,0,0,pin26
chr1-26288010,1,0,0,0,0,0,0,0,0,pin26
chr1-26584031,0,0,0,0,0,0,0,0,1,pin26
chr1-27182293,0,0,0,0,1,0,0,0,0,pin26
chr1-27725211,1,0,0,0,0,0,0,0,0,pin26
chr1-28330710,1,0,0,0,0,0,0,0,0,pin26
chr1-28449086,1,0,0,0,0,0,0,0,0,pin26
chr1-28643338,1,0,0,0,0,0,0,0,0,pin26
chr1-28929040,1,0,0,0,0,0,0,0,0,pin26
chr1-29063871,1,0,0,0,0,0,0,0,0,pin26
chr1-31954580,0,0,1,0,0,0,0,0,0,pin26
chr1-32240600,1,0,0,0,0,0,0,0,0,pin26
chr1-32249395,0,0,1,0,0,0,0,0,0,pin26
chr1-35287473,0,0,0,0,1,0,0,0,0,pin26
chr1-38032452,1,0,0,0,0,0,0,0,0,pin26
chr1-41804475,0,0,1,0,0,0,0,0,0,pin26
chr1-42681347,1,0,0,0,0,0,0,0,0,pin26
chr1-44947286,1,0,0,0,0,0,0,0,0,pin26
chr1-45521269,1,0,0,0,0,0,0,0,0,pin26
chr1-45523121,0,0,0,0,0,0,0,1,0,pin26
chr1-45750325,0,0,0,1,0,0,0,0,0,pin26
chr1-53920327,1,0,0,0,0,0,0,0,0,pin26
chr1-54054883,1,0,0,0,0,0,0,0,0,pin26
chr1-54284462,0,0,1,0,0,0,0,0,0,pin26
chr1-58727349,0,0,0,1,0,0,0,0,0,pin26
chr1-61305636,1,0,0,0,0,0,0,0,0,pin26
chr1-65068351,0,0,1,0,0,0,0,0,0,pin26
chr1-66364418,0,0,0,0,0,0,0,1,0,pin26
chr1-7920848,0,0,1,0,0,0,0,0,0,pin26
chr1-80893799,0,0,0,0,0,0,0,1,0,pin26
chr1-83488628,0,0,1,0,0,0,0,0,0,pin26
chr1-83491262,0,0,1,0,0,0,0,0,0,pin26
chr1-86429861,0,0,0,1,0,0,0,0,0,pin26
chr1-87044171,0,1,0,0,0,0,0,0,0,pin26
chr1-8947778,0,0,0,1,0,0,0,0,0,pin26
chr1-89541114,0,0,0,0,0,0,0,1,0,pin26
chr1-89552935,1,0,0,0,0,0,0,0,0,pin26
chr1-90913461,1,0,0,0,0,0,0,0,0,pin26
chr1-91671440,0,0,0,0,0,1,0,0,0,pin26
chr1-92538375,0,0,1,0,0,0,0,0,0,pin26
chr1-92582190,0,0,1,0,0,0,0,0,0,pin26
chr1-92977978,0,0,0,2,0,0,0,0,0,pin26
chr1-94384828,1,0,0,0,0,0,0,0,0,pin26
chr1-94438126,1,0,0,0,0,0,0,0,0,pin26
chr1-94847396,0,0,0,0,0,0,0,1,0,pin26
chr1-9653795,0,0,0,1,0,0,0,0,0,pin26
chr1+100401418,1,0,0,0,0,0,0,0,0,pin26
chr1+100443949,1,0,0,0,0,0,0,0,0,pin26
chr1+101137387,0,0,1,0,0,0,0,0,0,pin26
chr1+101453493,0,0,0,0,0,0,0,0,1,pin26
chr1+108051323,0,0,0,0,0,0,0,0,1,pin26
chr1+108646656,0,0,0,0,0,0,0,1,0,pin26
chr1+108703084,1,0,0,0,0,0,0,0,0,pin26
chr1+109790163,0,0,0,0,2,0,0,0,0,pin26
chr1+109803357,1,0,0,0,0,0,0,0,0,pin26
chr1+110203994,1,0,0,0,0,0,0,0,0,pin26
chr1+110878068,0,0,0,0,2,0,0,0,0,pin26
chr1+111600329,0,0,1,0,0,0,0,0,0,pin26
chr1+113757574,1,0,0,0,0,0,0,0,0,pin26
chr1+114511781,1,0,0,0,0,0,0,0,0,pin26
chr1+11803237,1,0,0,0,0,0,0,0,0,pin26
chr1+121115172,0,0,0,0,1,0,0,0,0,pin26
chr1+12128920,1,0,0,0,0,0,0,0,0,pin26
chr1+123102278,0,0,0,1,0,0,0,0,0,pin26
chr1+12471553,0,0,1,0,0,0,0,0,0,pin26
chr1+12504219,1,0,0,0,0,0,0,0,0,pin26
chr1+12617311,0,0,0,0,0,0,0,1,0,pin26
chr1+1365549,1,0,0,0,0,0,0,0,0,pin26
chr1+13728173,0,0,1,0,0,0,0,0,0,pin26
chr1+143206419,0,0,0,1,0,0,0,0,0,pin26
chr1+143212907,0,0,0,2,0,0,0,0,0,pin26
chr1+143221413,0,0,0,2,0,0,0,0,0,pin26
chr1+143262829,0,0,0,1,0,0,0,0,0,pin26
chr1+143267038,0,0,0,1,0,0,0,0,0,pin26
chr1+147540438,1,0,0,0,0,0,0,0,0,pin26
chr1+148248022,0,0,0,0,0,0,0,0,1,pin26
chr1+150565580,1,0,0,0,0,0,0,0,0,pin26
chr1+150613446,1,0,0,0,0,0,0,0,0,pin26
chr1+151043703,1,0,0,0,0,0,0,0,0,pin26
chr1+151058895,1,0,0,0,0,0,0,0,0,pin26
chr1+151345700,1,0,0,0,0,0,0,0,0,pin26
chr1+151766783,0,0,1,0,0,0,0,0,0,pin26
chr1+152450874,0,0,0,0,0,0,1,0,0,pin26
chr1+15347944,1,0,0,0,0,0,0,0,0,pin26
chr1+153962670,1,0,0,0,0,0,0,0,0,pin26
chr1+155975221,1,0,0,0,0,0,0,0,0,pin26
chr1+155979862,0,0,0,1,0,0,0,0,0,pin26
chr1+157710668,1,0,0,0,0,0,0,0,0,pin26
chr1+158930953,1,0,0,0,0,0,0,0,0,pin26
chr1+159013867,0,0,0,1,0,0,0,0,0,pin26
chr1+160436836,1,0,0,0,0,0,0,0,0,pin26
chr1+160458192,0,0,0,1,0,0,0,0,0,pin26
chr1+160463416,0,0,1,0,0,0,0,0,0,pin26
chr1+160464015,1,0,0,0,0,0,0,0,0,pin26
chr1+160541142,0,0,0,0,0,0,0,0,1,pin26
chr1+160742533,0,0,0,0,0,0,0,1,0,pin26
chr1+160744348,1,0,0,0,0,0,0,0,0,pin26
chr1+168452870,0,0,0,0,0,0,0,1,0,pin26
chr1+168519397,1,0,0,0,0,0,0,0,0,pin26
chr1+169043061,0,0,0,0,0,0,0,0,1,pin26
chr1+16951956,0,0,0,0,0,0,0,1,0,pin26
