cellType,timePoint,dataSource,posidLabel,totalCells,timePointDays,relAbund,patient
PBMC,D1,Illumina,LowAbund,58,1,91.52542372881356,pin32
PBMC,D1,Illumina,"COL23A1 *
chr5+178240928",58,1,5.084745762711865,pin32
PBMC,D1,Illumina,"RGS9 *
chr17+65180059",58,1,3.389830508474576,pin32
PBMC,W2,Illumina,LowAbund,162,14,98.31460674157303,pin32
PBMC,W2,Illumina,"MACROD2 *
chr20-15199619",162,14,1.6853932584269662,pin32
PBMC,W8,Illumina,LowAbund,324,56,98.83720930232558,pin32
PBMC,W8,Illumina,"C14orf93 *
chr14+23007830",324,56,1.1627906976744187,pin32
PBMC,Y15,Illumina,LowAbund,28,5475,90,pin32
PBMC,Y15,Illumina,"RBMS2 *
chr12-56582475",28,5475,10,pin32
PBMC,Y4,Illumina,LowAbund,47,1460,86,pin32
PBMC,Y4,Illumina,"MYT1L *
chr2-1994793",47,1460,8,pin32
PBMC,Y4,Illumina,"CAMK1D *
chr10-12641225",47,1460,6,pin32
PBMC,Y8,Illumina,LowAbund,47,2920,100,pin32
PBMC,Y8.5,Illumina,LowAbund,14,3102,35.71428571428572,pin32
PBMC,Y8.5,Illumina,"RERGL 
chr12-18166264",14,3102,21.428571428571427,pin32
PBMC,Y8.5,Illumina,"CST7 *
chr20-24949765",14,3102,21.428571428571427,pin32
PBMC,Y8.5,Illumina,"KCNV1 
chr8+110141142",14,3102,21.428571428571427,pin32
TCELL,D-1,454,LowAbund,1759,-1,100,pin32
TCELL,M2,454,LowAbund,42,61,76.34766807995155,pin32
TCELL,M2,454,"LYZL2 
chr10-30646217",42,61,1.1205330102967896,pin32
TCELL,M2,454,"LINC01572 *
chr16+72481683",42,61,1.968503937007874,pin32
TCELL,M2,454,"SLC35G3 
chr17-35215483",42,61,0.5451241671714113,pin32
TCELL,M2,454,"LINC01821 
chr2+193895197",42,61,4.02786190187765,pin32
TCELL,M2,454,"PARP9 *
chr3-122528872",42,61,1.574803149606299,pin32
TCELL,M2,454,"LINC02569 
chr6-30508787",42,61,2.816474863718958,pin32
TCELL,M2,454,"LY86 
chr6+6659005",42,61,0.18170805572380377,pin32
TCELL,M2,454,"MYOM2 *
chr8+2129891",42,61,0.8176862507571169,pin32
TCELL,M2,454,"NPR2 
chr9+35786406",42,61,4.270139309509388,pin32
TCELL,M2,454,"VPS13A *
chr9+77252911",42,61,6.329497274379165,pin32
TCELL,Y7,454,LowAbund,7,2555,100,pin32
