seqnames,start,end,width,strand,dataSource,GTSP,patient,reads,refGenome,sampleName,timePoint,timePointDays,timePointMonths,posid,inFeature,nearestFeature,nearestFeatureStrand,inFeatureExon,inFeatureSameOrt,nearestFeatureDist,nearestOncoFeature,nearestOncoFeatureDist,nearestOncoFeatureStrand,nearestlymphomaFeature,nearestlymphomaFeatureDist,nearestlymphomaFeatureStrand,cellType
chr5,410215,410365,151,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr5+410215,TRUE,AHRR,+,FALSE,TRUE,-0,PDCD6,95240,+,TLX3,-170899067,+,TCELL
chr6,446795,446842,48,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr6-446842,FALSE,IRF4,+,FALSE,FALSE,35398,IRF4,35398,+,BRD2,-32521816,+,TCELL
chr6,474485,474587,103,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr6-474587,FALSE,EXOC2,-,FALSE,TRUE,10549,IRF4,63143,+,BRD2,-32494071,+,TCELL
chr6,476056,476173,118,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr6+476056,FALSE,EXOC2,-,FALSE,FALSE,9080,IRF4,64612,+,BRD2,-32492602,+,TCELL
chr7,601161,601357,197,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr7-601357,TRUE,PRKAR1B,-,FALSE,TRUE,-0,PDGFA,-81512,-,None.found,Inf,None.found,TCELL
chr7,603158,603329,172,-,454,LS-6,pin25,3,hg38,LS-6-0,D-1,-1,-0,chr7-603329,TRUE,"PRKAR1B,LOC101926963","-,+",FALSE,FALSE,-0,PDGFA,-83484,-,None.found,Inf,None.found,TCELL
chr7,618431,618469,39,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr7+618431,TRUE,PRKAR1B,-,FALSE,FALSE,-0,PDGFA,-98586,-,None.found,Inf,None.found,TCELL
chr17,782122,782444,323,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr17+782122,TRUE,GLOD4,-,FALSE,FALSE,0,FAM57A,39153,+,None.found,Inf,None.found,TCELL
chr18,816954,817044,91,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr18-817044,FALSE,YES1,-,FALSE,TRUE,-4717,YES1,-4717,-,BCL2,62306300,-,TCELL
chr17,875775,876014,240,-,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr17-876014,TRUE,NXN,-,FALSE,TRUE,-0,ABR,127502,-,None.found,Inf,None.found,TCELL
chr10,1044707,1044761,55,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr10-1044761,TRUE,IDI1,-,FALSE,TRUE,-0,ADARB2,132550,-,KLF6,2731233,-,TCELL
chr1,1200461,1200566,106,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr1+1200461,FALSE,TTLL10,+,FALSE,TRUE,2527,MIB2,-414952,+,LCK,-31050776,+,TCELL
chr1,1470735,1470918,184,-,454,LS-6,pin25,4,hg38,LS-6-0,D-1,-1,-0,chr1-1470918,FALSE,ATAD3C,+,FALSE,FALSE,759,MIB2,-144495,+,LCK,-30780319,+,TCELL
chr7,1568664,1568714,51,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr7-1568714,TRUE,PSMG3,-,FALSE,TRUE,0,MAFK,25670,+,None.found,Inf,None.found,TCELL
chr1,1616404,1616651,248,-,454,LS-6,pin25,14,hg38,LS-6-0,D-1,-1,-0,chr1-1616651,TRUE,MIB2,+,FALSE,FALSE,0,MIB2,0,+,LCK,-30634586,+,TCELL
chr20,1624534,1624618,85,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr20+1624534,FALSE,SIRPB1,-,FALSE,FALSE,-4439,CSNK2A1,-1080695,-,None.found,Inf,None.found,TCELL
chr20,1673409,1673705,297,+,454,LS-6,pin25,9,hg38,LS-6-0,D-1,-1,-0,chr20+1673409,FALSE,SIRPG,-,FALSE,FALSE,-15629,CSNK2A1,-1129570,-,None.found,Inf,None.found,TCELL
chr17,2085167,2085236,70,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr17+2085167,TRUE,SMG6,-,FALSE,FALSE,-0,SMG6,-0,-,None.found,Inf,None.found,TCELL
chr19,2095022,2095243,222,-,454,LS-6,pin25,6,hg38,LS-6-0,D-1,-1,-0,chr19-2095243,TRUE,MOB3A,-,FALSE,TRUE,0,SCAMP4,169225,+,TCF3,-442913,-,TCELL
chr19,2163079,2163171,93,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr19-2163171,FALSE,DOT1L,+,FALSE,FALSE,-976,SPPL2B,-165457,+,TCF3,-510841,-,TCELL
chr17,2265062,2265120,59,-,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr17-2265120,TRUE,SMG6,-,FALSE,TRUE,0,SMG6,0,-,None.found,Inf,None.found,TCELL
chr17,2265834,2265866,33,-,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr17-2265866,TRUE,SMG6,-,FALSE,TRUE,0,SMG6,0,-,None.found,Inf,None.found,TCELL
chr18,2606274,2606504,231,+,454,LS-6,pin25,1,hg38,LS-6-0,D-1,-1,-0,chr18+2606274,TRUE,NDC80,+,FALSE,TRUE,-0,DLGAP1,889756,-,BCL2,60517070,-,TCELL
chr19,2633413,2633735,323,+,454,LS-6,pin25,2,hg38,LS-6-0,D-1,-1,-0,chr19+2633413,TRUE,GNG7,-,FALSE,FALSE,0,SPPL2B,278310,+,TCF3,-981083,-,TCELL
