posid,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/D-1,TCELL/M2,TCELL/Y8,patient
chr1-100430839,0,0,0,0,0,1,0,0,0,pin30
chr1-100712528,0,0,0,0,0,0,1,0,0,pin30
chr1-101234541,0,1,0,0,0,0,0,0,0,pin30
chr1-101293029,0,0,0,0,0,0,1,0,0,pin30
chr1-109823839,0,0,0,0,0,0,1,0,0,pin30
chr1-109895104,0,1,0,0,0,0,0,0,0,pin30
chr1-109905932,0,0,0,0,0,0,1,0,0,pin30
chr1-110214463,0,0,0,0,0,0,1,0,0,pin30
chr1-110672981,0,1,0,0,0,0,0,0,0,pin30
chr1-110879710,0,0,0,0,0,0,1,0,0,pin30
chr1-111203666,0,0,0,2,0,0,0,0,0,pin30
chr1-111214105,0,0,0,0,0,0,1,0,0,pin30
chr1-111214539,0,0,0,0,0,1,0,0,0,pin30
chr1-11144401,0,0,0,0,0,0,1,0,0,pin30
chr1-111592531,0,0,0,0,0,0,1,0,0,pin30
chr1-113869359,0,0,0,0,0,0,1,0,0,pin30
chr1-116752092,0,0,0,0,0,0,0,1,0,pin30
chr1-116755503,0,0,0,0,0,0,1,0,0,pin30
chr1-116804578,0,0,0,0,0,1,0,0,0,pin30
chr1-116807261,0,0,1,0,0,0,0,0,0,pin30
chr1-116811094,0,0,0,0,0,0,1,0,0,pin30
chr1-117390943,0,0,0,0,0,0,1,0,0,pin30
chr1-119797805,0,0,0,0,0,0,1,0,0,pin30
chr1-119800303,0,0,0,0,0,0,1,0,0,pin30
chr1-12163074,0,0,0,0,0,0,1,0,0,pin30
chr1-1218681,0,0,0,0,0,0,1,0,0,pin30
chr1-12204871,0,0,0,0,0,0,1,0,0,pin30
chr1-12435187,0,0,0,0,0,0,1,0,0,pin30
chr1-12511629,0,0,0,0,0,0,1,0,0,pin30
chr1-13732061,0,0,0,0,0,0,1,0,0,pin30
chr1-147168547,0,0,0,0,0,0,1,0,0,pin30
chr1-147540792,0,0,0,0,1,0,0,0,0,pin30
chr1-149740828,0,0,0,0,0,0,1,0,0,pin30
chr1-150615352,0,0,0,0,0,0,1,0,0,pin30
chr1-151326877,0,0,0,0,0,0,1,0,0,pin30
chr1-153944624,0,0,0,0,0,0,1,0,0,pin30
chr1-153977489,0,0,0,0,0,0,1,0,0,pin30
chr1-154420917,0,0,0,0,0,0,1,0,0,pin30
chr1-156156263,0,0,0,0,0,0,1,0,0,pin30
chr1-156225965,0,0,0,0,0,0,1,0,0,pin30
chr1-157696642,0,0,0,0,0,0,1,0,0,pin30
chr1-157830124,0,0,0,0,0,0,1,0,0,pin30
chr1-15956048,0,0,0,0,0,0,1,0,0,pin30
chr1-159914881,0,0,0,0,0,0,1,0,0,pin30
chr1-160461335,0,0,0,0,0,0,1,0,0,pin30
chr1-160628847,0,0,0,0,0,0,1,0,0,pin30
chr1-160743695,0,0,0,0,0,0,1,0,0,pin30
chr1-160744528,0,0,0,0,0,0,1,0,0,pin30
chr1-167456460,0,2,0,0,0,0,0,0,0,pin30
