posid,PBMC/D0,PBMC/D1,PBMC/W2,PBMC/W8,PBMC/Y15,PBMC/Y4,PBMC/Y8,TCELL/M2,patient
chr1-100356682,0,0,0,1,0,0,0,0,pin22
chr1-11619992,0,0,0,1,0,0,0,0,pin22
chr1-161765922,1,0,0,0,0,0,0,0,pin22
chr1-16366730,1,0,0,0,0,0,0,0,pin22
chr1-179144976,0,0,0,0,0,0,0,1,pin22
chr1-203788900,0,0,1,0,0,0,0,0,pin22
chr1-235872625,0,0,0,1,0,0,0,0,pin22
chr1-23791581,0,0,0,0,0,0,1,0,pin22
chr1-248610838,0,0,0,1,0,0,0,0,pin22
chr1-26435279,0,0,0,1,0,0,0,0,pin22
chr1-32816997,0,0,0,0,0,0,1,0,pin22
chr1-38909665,0,0,1,0,0,0,0,0,pin22
chr1-40376410,0,0,1,0,0,0,0,0,pin22
chr1-41231945,0,0,1,0,0,0,0,0,pin22
chr1-41656672,0,0,0,4,0,0,0,0,pin22
chr1-6038353,0,0,0,0,1,0,0,0,pin22
chr1-6038584,0,0,0,1,0,0,0,0,pin22
chr1-66229278,0,0,0,1,0,0,0,0,pin22
chr1+111213595,0,0,0,0,0,0,0,1,pin22
chr1+151819760,1,0,0,0,0,0,0,0,pin22
chr1+160741969,0,0,1,0,0,0,0,0,pin22
chr1+161183869,1,0,0,0,0,0,0,0,pin22
chr1+167618463,1,0,0,0,0,0,0,0,pin22
chr1+185445111,0,0,0,0,0,0,0,1,pin22
chr1+19787946,0,0,0,1,0,0,0,0,pin22
chr1+206923010,1,0,0,0,0,0,0,0,pin22
chr1+21280216,0,0,0,0,0,0,1,0,pin22
chr1+21293104,2,0,0,0,0,0,0,0,pin22
chr1+28288087,0,0,0,1,0,0,0,0,pin22
chr1+40939431,0,0,0,1,0,0,0,0,pin22
chr1+44809195,1,0,0,0,0,0,0,0,pin22
chr1+86451809,1,0,0,0,0,0,0,0,pin22
chr10-104268480,1,0,0,0,0,0,0,0,pin22
chr10-104272881,0,0,0,1,0,0,0,0,pin22
chr10-112694035,0,0,0,1,0,0,0,0,pin22
chr10-114925685,0,0,2,0,0,0,0,0,pin22
chr10-133389249,1,0,0,0,0,0,0,0,pin22
chr10-30682318,1,0,0,0,0,0,0,0,pin22
chr10-30683386,0,0,0,0,0,1,0,0,pin22
chr10-70587116,0,0,0,0,0,0,0,1,pin22
chr10+11146184,0,0,0,1,0,0,0,0,pin22
chr10+119871826,0,0,1,0,0,0,0,0,pin22
chr10+12116071,1,0,0,0,0,0,0,0,pin22
chr10+14726182,0,0,0,1,0,0,0,0,pin22
chr10+23538076,1,0,0,0,0,0,0,0,pin22
chr10+24397279,0,0,0,1,0,0,0,0,pin22
chr10+29501137,0,0,0,0,0,1,0,0,pin22
chr10+30142390,0,0,0,1,0,0,0,0,pin22
chr10+30550664,0,0,0,1,0,0,0,0,pin22
chr10+34498693,0,0,1,0,0,0,0,0,pin22
chr10+5657896,0,0,0,1,0,0,0,0,pin22
chr10+99972460,0,0,0,1,0,0,0,0,pin22
chr11-119263379,0,0,0,0,0,1,0,0,pin22
chr11-123456415,1,0,0,0,0,0,0,0,pin22
chr11-2153575,0,0,0,1,0,0,0,0,pin22
chr11-46358100,0,0,0,1,0,0,0,0,pin22
chr11-61660241,0,0,0,1,0,0,0,0,pin22
chr11-98916985,0,0,1,0,0,0,0,0,pin22
chr11+122722765,1,0,0,0,0,0,0,0,pin22
chr11+2184056,0,0,0,1,0,0,0,0,pin22
chr11+22703875,1,0,0,0,0,0,0,0,pin22
chr11+327600,0,0,1,0,0,0,0,0,pin22
chr11+36380784,1,0,0,0,0,0,0,0,pin22
chr11+47643366,0,0,0,1,0,0,0,0,pin22
chr11+4789635,0,0,1,0,0,0,0,0,pin22
chr11+67789604,0,0,0,1,0,0,0,0,pin22
chr11+96065187,0,0,0,0,0,0,2,0,pin22
chr12-101407689,0,0,1,0,0,0,0,0,pin22
chr12-118538411,0,0,0,1,0,0,0,0,pin22
chr12-11979574,1,0,0,0,0,0,0,0,pin22
chr12-12582047,0,0,0,0,0,0,0,1,pin22
chr12-15700578,0,1,0,0,0,0,0,0,pin22
chr12-21527032,0,0,0,0,0,1,0,0,pin22
chr12-44739814,0,0,1,0,0,0,0,0,pin22
chr12-88301484,2,0,0,0,0,0,0,0,pin22
chr12-93611506,0,0,0,1,0,0,0,0,pin22
chr12+127166589,1,0,0,0,0,0,0,0,pin22
chr12+129256746,0,0,0,1,0,0,0,0,pin22
chr12+58109172,0,0,1,0,0,0,0,0,pin22
chr12+95270133,0,0,0,0,0,0,0,1,pin22
chr13-32428502,0,0,0,0,0,0,1,0,pin22
chr13-46173067,0,0,1,0,0,0,0,0,pin22
chr13-48234317,0,0,0,0,0,0,1,0,pin22
chr13-98062606,0,0,1,0,0,0,0,0,pin22
chr13+24242014,0,0,1,0,0,0,0,0,pin22
chr13+25873434,0,0,0,0,0,0,0,1,pin22
chr13+46177189,0,0,0,0,0,0,0,1,pin22
chr13+51085798,0,0,0,1,0,0,0,0,pin22
chr13+99310443,1,0,0,0,0,0,0,0,pin22
chr14-100064575,0,0,1,0,0,0,0,0,pin22
chr14-103598212,0,0,1,0,0,0,0,0,pin22
chr14-104484593,0,0,0,1,0,0,0,0,pin22
chr14-19063213,0,0,0,1,0,0,0,0,pin22
chr14-70641644,0,0,0,0,1,0,0,0,pin22
chr14-72100333,0,0,0,1,0,0,0,0,pin22
chr14-74913385,0,0,0,1,0,0,0,0,pin22
chr14-98940739,1,0,0,0,0,0,0,0,pin22
chr14+35933439,1,0,0,0,0,0,0,0,pin22
chr14+48625134,0,0,1,0,0,0,0,0,pin22
